bound,stop_up,stop_down,predictions_1, predictions_-1, count
-3.0,0.5,1.0,0.65, 0.35, 18922
-3.0,0.5,0.5,0.513, 0.487, 31375
-3.0,0.5,0.25,0.392, 0.608, 47308
-3.0,0.7,1.4,0.658, 0.342, 11172
-3.0,0.7,0.7,0.512, 0.488, 19379
-3.0,0.7,0.35,0.384, 0.616, 31012
-3.0,0.9,1.8,0.666, 0.334, 7343
-3.0,0.9,0.9,0.516, 0.484, 13109
-3.0,0.9,0.45,0.38, 0.62, 21747
-3.0,1.1,2.2,0.671, 0.329, 5278
-3.0,1.1,1.1,0.518, 0.482, 9395
-3.0,1.1,0.55,0.376, 0.624, 15973
-3.0,1.3,2.6,0.675, 0.325, 3908
-3.0,1.3,1.3,0.52, 0.48, 7031
-3.0,1.3,0.65,0.375, 0.625, 12407
-3.0,1.5,3.0,0.676, 0.324, 2971
-3.0,1.5,1.5,0.524, 0.476, 5509
-3.0,1.5,0.75,0.377, 0.623, 9785
-3.0,1.7,3.4,0.684, 0.316, 2416
-3.0,1.7,1.7,0.525, 0.475, 4465
-3.0,1.7,0.85,0.375, 0.625, 7992
-3.0,1.9,3.8,0.687, 0.313, 1956
-3.0,1.9,1.9,0.524, 0.476, 3686
-3.0,1.9,0.95,0.375, 0.625, 6577
-3.0,2.1,4.2,0.692, 0.308, 1602
-3.0,2.1,2.1,0.533, 0.467, 3024
-3.0,2.1,1.05,0.375, 0.625, 5525
-3.0,2.3,4.6,0.692, 0.308, 1399
-3.0,2.3,2.3,0.534, 0.466, 2585
-3.0,2.3,1.15,0.376, 0.624, 4714
-3.0,2.5,5.0,0.699, 0.301, 1204
-3.0,2.5,2.5,0.534, 0.466, 2259
-3.0,2.5,1.25,0.377, 0.623, 4034
-3.0,2.7,5.4,0.696, 0.304, 1082
-3.0,2.7,2.7,0.535, 0.465, 1985
-3.0,2.7,1.35,0.378, 0.622, 3542
-3.0,2.9,5.8,0.702, 0.298, 908
-3.0,2.9,2.9,0.539, 0.461, 1730
-3.0,2.9,1.45,0.379, 0.621, 3105
-3.0,3.1,6.2,0.705, 0.295, 804
-3.0,3.1,3.1,0.539, 0.461, 1480
-3.0,3.1,1.55,0.377, 0.623, 2766
-3.0,3.3,6.6,0.703, 0.297, 717
-3.0,3.3,3.3,0.542, 0.458, 1344
-3.0,3.3,1.65,0.377, 0.623, 2475
-3.0,3.5,7.0,0.706, 0.294, 623
-3.0,3.5,3.5,0.543, 0.457, 1212
-3.0,3.5,1.75,0.377, 0.623, 2303
-3.0,3.7,7.4,0.707, 0.293, 576
-3.0,3.7,3.7,0.545, 0.455, 1097
-3.0,3.7,1.85,0.38, 0.62, 2062
-3.0,3.9,7.8,0.71, 0.29, 531
-3.0,3.9,3.9,0.543, 0.457, 1005
-3.0,3.9,1.95,0.383, 0.617, 1869
-3.0,4.1,8.2,0.715, 0.285, 463
-3.0,4.1,4.1,0.548, 0.452, 903
-3.0,4.1,2.05,0.382, 0.618, 1644
-3.0,4.3,8.6,0.72, 0.28, 422
-3.0,4.3,4.3,0.548, 0.452, 828
-3.0,4.3,2.15,0.384, 0.616, 1528
-3.0,4.5,9.0,0.722, 0.278, 389
-3.0,4.5,4.5,0.553, 0.447, 776
-3.0,4.5,2.25,0.384, 0.616, 1428
-3.0,4.7,9.4,0.724, 0.276, 373
-3.0,4.7,4.7,0.556, 0.444, 676
-3.0,4.7,2.35,0.387, 0.613, 1293
-3.0,4.9,9.8,0.725, 0.275, 342
-3.0,4.9,4.9,0.554, 0.446, 673
-3.0,4.9,2.45,0.384, 0.616, 1209
-2.5,0.5,1.0,0.65, 0.35, 18922
-2.5,0.5,0.5,0.513, 0.487, 31375
-2.5,0.5,0.25,0.392, 0.608, 47308
-2.5,0.7,1.4,0.658, 0.342, 11172
-2.5,0.7,0.7,0.512, 0.488, 19379
-2.5,0.7,0.35,0.384, 0.616, 31012
-2.5,0.9,1.8,0.666, 0.334, 7343
-2.5,0.9,0.9,0.516, 0.484, 13109
-2.5,0.9,0.45,0.38, 0.62, 21747
-2.5,1.1,2.2,0.671, 0.329, 5278
-2.5,1.1,1.1,0.518, 0.482, 9395
-2.5,1.1,0.55,0.376, 0.624, 15973
-2.5,1.3,2.6,0.675, 0.325, 3908
-2.5,1.3,1.3,0.52, 0.48, 7031
-2.5,1.3,0.65,0.375, 0.625, 12407
-2.5,1.5,3.0,0.676, 0.324, 2971
-2.5,1.5,1.5,0.524, 0.476, 5509
-2.5,1.5,0.75,0.377, 0.623, 9785
-2.5,1.7,3.4,0.684, 0.316, 2416
-2.5,1.7,1.7,0.525, 0.475, 4465
-2.5,1.7,0.85,0.375, 0.625, 7992
-2.5,1.9,3.8,0.687, 0.313, 1956
-2.5,1.9,1.9,0.524, 0.476, 3686
-2.5,1.9,0.95,0.375, 0.625, 6577
-2.5,2.1,4.2,0.692, 0.308, 1602
-2.5,2.1,2.1,0.533, 0.467, 3024
-2.5,2.1,1.05,0.375, 0.625, 5525
-2.5,2.3,4.6,0.692, 0.308, 1399
-2.5,2.3,2.3,0.534, 0.466, 2585
-2.5,2.3,1.15,0.376, 0.624, 4714
-2.5,2.5,5.0,0.699, 0.301, 1204
-2.5,2.5,2.5,0.534, 0.466, 2259
-2.5,2.5,1.25,0.377, 0.623, 4034
-2.5,2.7,5.4,0.696, 0.304, 1082
-2.5,2.7,2.7,0.535, 0.465, 1985
-2.5,2.7,1.35,0.378, 0.622, 3542
-2.5,2.9,5.8,0.702, 0.298, 908
-2.5,2.9,2.9,0.539, 0.461, 1730
-2.5,2.9,1.45,0.379, 0.621, 3105
-2.5,3.1,6.2,0.705, 0.295, 804
